a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:4:"text";s:5:"event";s:0:"";s:7:"content";s:12:"你吃了么";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:8:"FromUser";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
a:4:{s:6:"openId";s:28:"oxXMJ51Is6sRyMBiCCchK-FCdpuA";s:7:"msgType";s:5:"event";s:5:"event";s:4:"VIEW";s:7:"content";s:0:"";}
